X1,X2
-11,46
-10.92745098,46
-10.85490196,46
-10.78235294,46
-10.70980392,46
-10.6372549,46
-10.56470588,46
-10.49215686,46
-10.41960784,46
-10.34705882,46
-10.2745098,46
-10.20196078,46
-10.12941176,46
-10.05686275,46
-9.984313725,46
-9.911764706,46
-9.839215686,46
-9.766666667,46
-9.694117647,46
-9.621568627,46
-9.549019608,46
-9.476470588,46
-9.403921569,46
-9.331372549,46
-9.258823529,46
-9.18627451,46
-9.11372549,46
-9.041176471,46
-8.968627451,46
-8.896078431,46
-8.823529412,46
-8.750980392,46
-8.678431373,46
-8.605882353,46
-8.533333333,46
-8.460784314,46
-8.388235294,46
-8.315686275,46
-8.243137255,46
-8.170588235,46
-8.098039216,46
-8.025490196,46
-7.952941176,46
-7.880392157,46
-7.807843137,46
-7.735294118,46
-7.662745098,46
-7.590196078,46
-7.517647059,46
-7.445098039,46
-7.37254902,46
-7.3,46
-7.22745098,46
-7.154901961,46
-7.082352941,46
-7.009803922,46
-6.937254902,46
-6.864705882,46
-6.792156863,46
-6.719607843,46
-6.647058824,46
-6.574509804,46
-6.501960784,46
-6.429411765,46
-6.356862745,46
-6.284313725,46
-6.211764706,46
-6.139215686,46
-6.066666667,46
-5.994117647,46
-5.921568627,46
-5.849019608,46
-5.776470588,46
-5.703921569,46
-5.631372549,46
-5.558823529,46
-5.48627451,46
-5.41372549,46
-5.341176471,46
-5.268627451,46
-5.196078431,46
-5.123529412,46
-5.050980392,46
-4.978431373,46
-4.905882353,46
-4.833333333,46
-4.760784314,46
-4.688235294,46
-4.615686275,46
-4.543137255,46
-4.470588235,46
-4.398039216,46
-4.325490196,46
-4.252941176,46
-4.180392157,46
-4.107843137,46
-4.035294118,46
-3.962745098,46
-3.890196078,46
-3.817647059,46
-3.745098039,46
-3.67254902,46
-3.6,46
-3.52745098,46
-3.454901961,46
-3.382352941,46
-3.309803922,46
-3.237254902,46
-3.164705882,46
-3.092156863,46
-3.019607843,46
-2.947058824,46
-2.874509804,46
-2.801960784,46
-2.729411765,46
-2.656862745,46
-2.584313725,46
-2.511764706,46
-2.439215686,46
-2.366666667,46
-2.294117647,46
-2.221568627,46
-2.149019608,46
-2.076470588,46
-2.003921569,46
-1.931372549,46
-1.858823529,46
-1.78627451,46
-1.71372549,46
-1.641176471,46
-1.568627451,46
-1.496078431,46
-1.423529412,46
-1.350980392,46
-1.278431373,46
-1.205882353,46
-1.133333333,46
-1.060784314,46
-0.988235294,46
-0.915686275,46
-0.843137255,46
-0.770588235,46
-0.698039216,46
-0.625490196,46
-0.552941176,46
-0.480392157,46
-0.407843137,46
-0.335294118,46
-0.262745098,46
-0.190196078,46
-0.117647059,46
-0.045098039,46
0.02745098,46
0.1,46
0.17254902,46
0.245098039,46
0.317647059,46
0.390196078,46
0.462745098,46
0.535294118,46
0.607843137,46
0.680392157,46
0.752941176,46
0.825490196,46
0.898039216,46
0.970588235,46
1.043137255,46
1.115686275,46
1.188235294,46
1.260784314,46
1.333333333,46
1.405882353,46
1.478431373,46
1.550980392,46
1.623529412,46
1.696078431,46
1.768627451,46
1.841176471,46
1.91372549,46
1.98627451,46
2.058823529,46
2.131372549,46
2.203921569,46
2.276470588,46
2.349019608,46
2.421568627,46
2.494117647,46
2.566666667,46
2.639215686,46
2.711764706,46
2.784313725,46
2.856862745,46
2.929411765,46
3.001960784,46
3.074509804,46
3.147058824,46
3.219607843,46
3.292156863,46
3.364705882,46
3.437254902,46
3.509803922,46
3.582352941,46
3.654901961,46
3.72745098,46
3.8,46
3.87254902,46
3.945098039,46
4.017647059,46
4.090196078,46
4.162745098,46
4.235294118,46
4.307843137,46
4.380392157,46
4.452941176,46
4.525490196,46
4.598039216,46
4.670588235,46
4.743137255,46
4.815686275,46
4.888235294,46
4.960784314,46
5.033333333,46
5.105882353,46
5.178431373,46
5.250980392,46
5.323529412,46
5.396078431,46
5.468627451,46
5.541176471,46
5.61372549,46
5.68627451,46
5.758823529,46
5.831372549,46
5.903921569,46
5.976470588,46
6.049019608,46
6.121568627,46
6.194117647,46
6.266666667,46
6.339215686,46
6.411764706,46
6.484313725,46
6.556862745,46
6.629411765,46
6.701960784,46
6.774509804,46
6.847058824,46
6.919607843,46
6.992156863,46
7.064705882,46
7.137254902,46
7.209803922,46
7.282352941,46
7.354901961,46
7.42745098,46
7.5,46
-11,46.05294118
-10.92745098,46.05294118
-10.85490196,46.05294118
-10.78235294,46.05294118
-10.70980392,46.05294118
-10.6372549,46.05294118
-10.56470588,46.05294118
-10.49215686,46.05294118
-10.41960784,46.05294118
-10.34705882,46.05294118
-10.2745098,46.05294118
-10.20196078,46.05294118
-10.12941176,46.05294118
-10.05686275,46.05294118
-9.984313725,46.05294118
-9.911764706,46.05294118
-9.839215686,46.05294118
-9.766666667,46.05294118
-9.694117647,46.05294118
-9.621568627,46.05294118
-9.549019608,46.05294118
-9.476470588,46.05294118
-9.403921569,46.05294118
-9.331372549,46.05294118
-9.258823529,46.05294118
-9.18627451,46.05294118
-9.11372549,46.05294118
-9.041176471,46.05294118
-8.968627451,46.05294118
-8.896078431,46.05294118
-8.823529412,46.05294118
-8.750980392,46.05294118
-8.678431373,46.05294118
-8.605882353,46.05294118
-8.533333333,46.05294118
-8.460784314,46.05294118
-8.388235294,46.05294118
-8.315686275,46.05294118
-8.243137255,46.05294118
-8.170588235,46.05294118
-8.098039216,46.05294118
-8.025490196,46.05294118
-7.952941176,46.05294118
-7.880392157,46.05294118
-7.807843137,46.05294118
-7.735294118,46.05294118
-7.662745098,46.05294118
-7.590196078,46.05294118
-7.517647059,46.05294118
-7.445098039,46.05294118
-7.37254902,46.05294118
-7.3,46.05294118
-7.22745098,46.05294118
-7.154901961,46.05294118
-7.082352941,46.05294118
-7.009803922,46.05294118
-6.937254902,46.05294118
-6.864705882,46.05294118
-6.792156863,46.05294118
-6.719607843,46.05294118
-6.647058824,46.05294118
-6.574509804,46.05294118
-6.501960784,46.05294118
-6.429411765,46.05294118
-6.356862745,46.05294118
-6.284313725,46.05294118
-6.211764706,46.05294118
-6.139215686,46.05294118
-6.066666667,46.05294118
-5.994117647,46.05294118
-5.921568627,46.05294118
-5.849019608,46.05294118
-5.776470588,46.05294118
-5.703921569,46.05294118
-5.631372549,46.05294118
-5.558823529,46.05294118
-5.48627451,46.05294118
-5.41372549,46.05294118
-5.341176471,46.05294118
-5.268627451,46.05294118
-5.196078431,46.05294118
-5.123529412,46.05294118
-5.050980392,46.05294118
-4.978431373,46.05294118
-4.905882353,46.05294118
-4.833333333,46.05294118
-4.760784314,46.05294118
-4.688235294,46.05294118
-4.615686275,46.05294118
-4.543137255,46.05294118
-4.470588235,46.05294118
-4.398039216,46.05294118
-4.325490196,46.05294118
-4.252941176,46.05294118
-4.180392157,46.05294118
-4.107843137,46.05294118
-4.035294118,46.05294118
-3.962745098,46.05294118
-3.890196078,46.05294118
-3.817647059,46.05294118
-3.745098039,46.05294118
-3.67254902,46.05294118
-3.6,46.05294118
-3.52745098,46.05294118
-3.454901961,46.05294118
-3.382352941,46.05294118
-3.309803922,46.05294118
-3.237254902,46.05294118
-3.164705882,46.05294118
-3.092156863,46.05294118
-3.019607843,46.05294118
-2.947058824,46.05294118
-2.874509804,46.05294118
-2.801960784,46.05294118
-2.729411765,46.05294118
-2.656862745,46.05294118
-2.584313725,46.05294118
-2.511764706,46.05294118
-2.439215686,46.05294118
-2.366666667,46.05294118
-2.294117647,46.05294118
-2.221568627,46.05294118
-2.149019608,46.05294118
-2.076470588,46.05294118
-2.003921569,46.05294118
-1.931372549,46.05294118
-1.858823529,46.05294118
-1.78627451,46.05294118
-1.71372549,46.05294118
-1.641176471,46.05294118
-1.568627451,46.05294118
-1.496078431,46.05294118
-1.423529412,46.05294118
-1.350980392,46.05294118
-1.278431373,46.05294118
-1.205882353,46.05294118
-1.133333333,46.05294118
-1.060784314,46.05294118
-0.988235294,46.05294118
-0.915686275,46.05294118
-0.843137255,46.05294118
-0.770588235,46.05294118
-0.698039216,46.05294118
-0.625490196,46.05294118
-0.552941176,46.05294118
-0.480392157,46.05294118
-0.407843137,46.05294118
-0.335294118,46.05294118
-0.262745098,46.05294118
-0.190196078,46.05294118
-0.117647059,46.05294118
-0.045098039,46.05294118
0.02745098,46.05294118
0.1,46.05294118
0.17254902,46.05294118
0.245098039,46.05294118
0.317647059,46.05294118
0.390196078,46.05294118
0.462745098,46.05294118
0.535294118,46.05294118
0.607843137,46.05294118
0.680392157,46.05294118
0.752941176,46.05294118
0.825490196,46.05294118
0.898039216,46.05294118
0.970588235,46.05294118
1.043137255,46.05294118
1.115686275,46.05294118
1.188235294,46.05294118
1.260784314,46.05294118
1.333333333,46.05294118
1.405882353,46.05294118
1.478431373,46.05294118
1.550980392,46.05294118
1.623529412,46.05294118
1.696078431,46.05294118
1.768627451,46.05294118
1.841176471,46.05294118
1.91372549,46.05294118
1.98627451,46.05294118
2.058823529,46.05294118
2.131372549,46.05294118
2.203921569,46.05294118
2.276470588,46.05294118
2.349019608,46.05294118
2.421568627,46.05294118
2.494117647,46.05294118
2.566666667,46.05294118
2.639215686,46.05294118
2.711764706,46.05294118
2.784313725,46.05294118
2.856862745,46.05294118
2.929411765,46.05294118
3.001960784,46.05294118
3.074509804,46.05294118
3.147058824,46.05294118
3.219607843,46.05294118
3.292156863,46.05294118
3.364705882,46.05294118
3.437254902,46.05294118
3.509803922,46.05294118
3.582352941,46.05294118
3.654901961,46.05294118
3.72745098,46.05294118
3.8,46.05294118
3.87254902,46.05294118
3.945098039,46.05294118
4.017647059,46.05294118
4.090196078,46.05294118
4.162745098,46.05294118
4.235294118,46.05294118
4.307843137,46.05294118
4.380392157,46.05294118
4.452941176,46.05294118
4.525490196,46.05294118
4.598039216,46.05294118
4.670588235,46.05294118
4.743137255,46.05294118
4.815686275,46.05294118
4.888235294,46.05294118
4.960784314,46.05294118
5.033333333,46.05294118
5.105882353,46.05294118
5.178431373,46.05294118
5.250980392,46.05294118
5.323529412,46.05294118
5.396078431,46.05294118
5.468627451,46.05294118
5.541176471,46.05294118
5.61372549,46.05294118
5.68627451,46.05294118
5.758823529,46.05294118
5.831372549,46.05294118
5.903921569,46.05294118
5.976470588,46.05294118
6.049019608,46.05294118
6.121568627,46.05294118
6.194117647,46.05294118
6.266666667,46.05294118
6.339215686,46.05294118
6.411764706,46.05294118
6.484313725,46.05294118
6.556862745,46.05294118
6.629411765,46.05294118
6.701960784,46.05294118
